pitch,pitch_v,roll,roll_v,x,x_v,y,y_v,yaw,yaw_v,z,z_v
0.022284213989216345,0.0,-0.01566980945095636,0.0,-0.09385006129741669,-0.04937959462404251,-0.1231781467795372,-0.07722242921590805,-0.10057021730397656,0.0,0.0860886201262474,0.04671818017959595
0.02221091776086376,0.0,-0.015626824527084224,0.0,-0.09414663165807724,-0.050469204783439636,-0.12411504983901978,-0.0783098042011261,-0.1006231266531355,0.0,0.08646901696920395,0.04726224020123482
0.02221091776086376,0.0,-0.015626824527084224,0.0,-0.09414663165807724,-0.050469204783439636,-0.12411504983901978,-0.0783098042011261,-0.1006231266531355,0.0,0.08646901696920395,0.04726224020123482
0.022202266440190823,0.0,-0.015717590006243436,0.0,-0.09396075457334518,-0.05129403993487358,-0.12429174035787582,-0.07935149222612381,-0.1006809920637777,0.0,0.08664925396442413,0.048041801899671555
0.022202266440190823,0.0,-0.015717590006243436,0.0,-0.09396075457334518,-0.05129403993487358,-0.12429174035787582,-0.07935149222612381,-0.1006809920637777,0.0,0.08664925396442413,0.048041801899671555
0.022202266440190823,0.0,-0.015717590006243436,0.0,-0.09396075457334518,-0.05129403993487358,-0.12429174035787582,-0.07935149222612381,-0.1006809920637777,0.0,0.08664925396442413,0.048041801899671555
0.022206795286290947,0.0,-0.015843403832543505,0.0,-0.09376990795135498,-0.051236897706985474,-0.12450282275676727,-0.07913633435964584,-0.10069673419709582,0.0,0.08682727813720703,0.04788041487336159
0.02218229301186321,0.0,-0.0158833432484599,0.0,-0.09380336850881577,-0.051488298922777176,-0.12480198591947556,-0.0793767049908638,-0.10069960584269108,0.0,0.08699151128530502,0.04817576706409454
0.02218229301186321,0.0,-0.0158833432484599,0.0,-0.09380336850881577,-0.051488298922777176,-0.12480198591947556,-0.0793767049908638,-0.10069960584269108,0.0,0.08699151128530502,0.04817576706409454
0.02218229301186321,0.0,-0.0158833432484599,0.0,-0.09380336850881577,-0.051488298922777176,-0.12480198591947556,-0.0793767049908638,-0.10069960584269108,0.0,0.08699151128530502,0.04817576706409454
0.02221159445099327,0.0,-0.01585775669695521,0.0,-0.09402322769165039,-0.05180635675787926,-0.12543347477912903,-0.0808708593249321,-0.1007450583660292,0.0,0.08745792508125305,0.047880519181489944
0.022129141730026173,0.0,-0.016000766267129766,0.0,-0.09451394528150558,-0.05095263570547104,-0.1265549659729004,-0.08148153871297836,-0.10089674911019926,0.0,0.08782301843166351,0.04606669023633003
0.022129141730026173,0.0,-0.016000766267129766,0.0,-0.09451394528150558,-0.05095263570547104,-0.1265549659729004,-0.08148153871297836,-0.10089674911019926,0.0,0.08782301843166351,0.04606669023633003
0.022129141730026173,0.0,-0.016000766267129766,0.0,-0.09451394528150558,-0.05095263570547104,-0.1265549659729004,-0.08148153871297836,-0.10089674911019926,0.0,0.08782301843166351,0.04606669023633003
0.022139682145899585,0.0,-0.015863459524479182,0.0,-0.0950743779540062,-0.05149202048778534,-0.12768089771270752,-0.08168815821409225,-0.1010307385239116,0.0,0.08803298324346542,0.04609595611691475
0.022139682145899585,0.0,-0.015863459524479182,0.0,-0.0950743779540062,-0.05149202048778534,-0.12768089771270752,-0.08168815821409225,-0.1010307385239116,0.0,0.08803298324346542,0.04609595611691475
0.022090425466311316,0.0,-0.01590471819698344,0.0,-0.09458868950605392,-0.051609400659799576,-0.1280205398797989,-0.0811457633972168,-0.10100226935981124,0.0,0.08809376507997513,0.0454743467271328
0.02208555728412955,0.0,-0.01595825491229661,0.0,-0.09382554888725281,-0.05044785141944885,-0.12839233875274658,-0.0808769091963768,-0.10099591795410573,0.0,0.08827044069766998,0.04741957038640976
0.02208555728412955,0.0,-0.01595825491229661,0.0,-0.09382554888725281,-0.05044785141944885,-0.12839233875274658,-0.0808769091963768,-0.10099591795410573,0.0,0.08827044069766998,0.04741957038640976
0.02208555728412955,0.0,-0.01595825491229661,0.0,-0.09382554888725281,-0.05044785141944885,-0.12839233875274658,-0.0808769091963768,-0.10099591795410573,0.0,0.08827044069766998,0.04741957038640976
0.0221176061788904,0.0,-0.015983452414953747,0.0,-0.0935380607843399,-0.05058037489652634,-0.12880422174930573,-0.08191831409931183,-0.10093451773920958,0.0,0.08844345062971115,0.048420749604701996
0.022118719509403417,0.0,-0.015939507438895086,0.0,-0.09334522485733032,-0.05049796774983406,-0.12957638502120972,-0.08237476646900177,-0.10096998388445752,0.0,0.08874312788248062,0.04866177588701248
0.022118719509403417,0.0,-0.015939507438895086,0.0,-0.09334522485733032,-0.05049796774983406,-0.12957638502120972,-0.08237476646900177,-0.10096998388445752,0.0,0.08874312788248062,0.04866177588701248
0.022148904567118155,0.0,-0.015993536067387903,0.0,-0.09338293969631195,-0.05000394955277443,-0.1308123618364334,-0.08207108825445175,-0.10101753958836139,0.0,0.08922369033098221,0.05028698965907097
0.022148904567118155,0.0,-0.015993536067387903,0.0,-0.09338293969631195,-0.05000394955277443,-0.1308123618364334,-0.08207108825445175,-0.10101753958836139,0.0,0.08922369033098221,0.05028698965907097
0.02209567704749854,0.0,-0.016109191745599844,0.0,-0.0935976579785347,-0.04949257895350456,-0.13200464844703674,-0.08168960362672806,-0.10097578434257017,0.0,0.0895267054438591,0.05063244327902794
0.02209567704749854,0.0,-0.016109191745599844,0.0,-0.0935976579785347,-0.04949257895350456,-0.13200464844703674,-0.08168960362672806,-0.10097578434257017,0.0,0.0895267054438591,0.05063244327902794
